bowler,season,runs_conceded,balls_bowled,matches,dot_balls,wickets
SN Thakur,2022,485,290,14,101,15
SP Narine,2012,332,355,15,164,24
SP Narine,2013,353,384,16,180,22
SP Narine,2014,432,390,16,157,21
SP Narine,2015,246,192,8,74,7
SP Narine,2016,310,256,11,109,11
SP Narine,2017,412,354,15,133,10
SP Narine,2018,473,366,16,131,17
SP Narine,2019,353,266,12,90,10
SP Narine,2020,308,228,10,62,5
SP Narine,2021,369,336,14,125,16
SP Narine,2022,319,336,14,138,9
SR Watson,2009,185,132,6,61,6
SR Watson,2011,248,216,10,78,6
SR Watson,2012,165,138,7,62,6
SR Watson,2013,319,250,13,101,13
SR Watson,2014,169,126,9,57,7
SR Watson,2015,273,174,10,62,6
SR Watson,2016,490,339,16,121,20
SR Watson,2017,246,161,8,47,5
SR Watson,2018,252,168,11,56,6
SS Cottrell,2020,177,120,6,58,6
ST Jayasuriya,2009,233,168,13,47,9
STR Binny,2013,163,144,14,57,6
SW Tait,2009,274,187,8,70,10
SW Tait,2011,137,89,4,42,6
SW Tait,2012,154,137,6,65,6
Sandeep Sharma,2013,130,96,4,41,8
Sandeep Sharma,2014,358,241,11,109,18
Sandeep Sharma,2015,359,300,14,142,13
Sandeep Sharma,2016,374,300,14,127,15
Sandeep Sharma,2017,402,288,13,115,17
Sandeep Sharma,2018,334,264,12,115,12
Sandeep Sharma,2019,355,256,11,79,12
Sandeep Sharma,2020,374,312,13,119,14
Shahbaz Ahmed,2021,92,84,6,21,7
Shakib Al Hasan,2011,177,153,7,59,11
Shakib Al Hasan,2012,203,180,8,68,12
Shakib Al Hasan,2014,339,300,13,113,11
Shakib Al Hasan,2016,247,186,9,58,5
Shakib Al Hasan,2018,458,342,17,96,14
Shivam Mavi,2018,273,168,9,61,5
Shivam Mavi,2020,214,156,8,61,9
Shivam Mavi,2021,242,193,9,85,11
Shivam Mavi,2022,229,132,6,47,5
Shoaib Ahmed,2009,154,102,7,33,5
T Natarajan,2020,520,377,16,123,16
T Natarajan,2022,410,258,11,78,18
T Thushara,2009,164,135,6,57,8
TA Boult,2015,239,168,7,71,9
TA Boult,2017,222,143,6,53,5
TA Boult,2018,476,316,14,111,18
TA Boult,2019,163,114,5,44,5
TA Boult,2020,473,348,15,156,25
TA Boult,2021,409,308,14,135,13
TA Boult,2022,501,372,16,170,16
TG Southee,2015,255,168,7,66,6
TG Southee,2016,333,258,11,99,9
TG Southee,2018,263,174,8,57,5
TG Southee,2022,284,210,9,84,14
TK Curran,2018,118,61,5,15,6
TL Suman,2009,132,102,7,33,5
TS Mills,2017,157,107,5,41,5
TS Mills,2022,192,102,5,28,6
UT Yadav,2009,192,144,7,55,6
UT Yadav,2012,459,366,17,145,19
UT Yadav,2013,533,353,16,127,16
UT Yadav,2014,381,270,12,95,11
UT Yadav,2015,387,252,12,92,10
UT Yadav,2016,246,156,9,46,10
UT Yadav,2017,432,291,14,117,17
UT Yadav,2018,424,319,14,142,20
UT Yadav,2019,375,227,11,87,8
