batter,season,runs,balls_faced,innings,fours,sixes,dismissals,average,strike_rate,boundary_pct,bat_index
S Dhawan,2019,521,382,16,64,11,15,34.73,136.39,19.63,72.37
S Dhawan,2020,618,425,17,67,13,14,44.14,145.41,18.82,79.58
S Dhawan,2021,587,471,16,63,16,15,39.13,124.63,16.77,68.86
S Dhawan,2022,460,372,14,47,12,12,38.33,123.66,15.86,67.97
S Dube,2020,129,105,9,5,9,7,18.43,122.86,13.33,59.18
S Dube,2021,230,193,9,18,10,8,28.75,119.17,14.51,62.07
S Dube,2022,289,184,11,22,16,10,28.9,157.07,20.65,78.52
S Gopal,2019,63,46,7,8,1,4,15.75,136.96,19.57,65.0
S Gopal,2020,37,39,5,3,0,4,9.25,94.87,7.69,43.19
S Nadeem,2013,14,27,6,1,0,5,2.8,51.85,3.7,22.6
S Rana,2014,73,64,7,7,1,3,24.33,114.06,12.5,57.86
S Sohal,2009,115,91,8,9,8,8,14.38,126.37,18.68,60.04
S Sohal,2011,249,190,10,25,10,10,24.9,131.05,18.42,66.06
S Sreesanth,2009,32,39,5,6,0,0,,82.05,15.38,
SA Asnodkar,2009,103,97,9,12,4,10,10.3,106.19,16.49,49.89
SA Yadav,2014,164,115,10,16,5,6,27.33,142.61,18.26,71.63
SA Yadav,2015,157,113,13,12,8,9,17.44,138.94,17.7,66.09
SA Yadav,2016,182,141,11,18,5,7,26.0,129.08,16.31,65.29
SA Yadav,2017,105,88,7,8,3,6,17.5,119.32,12.5,57.23
SA Yadav,2018,512,384,14,61,16,14,36.57,133.33,20.05,71.97
SA Yadav,2019,424,324,15,45,10,13,32.62,130.86,16.98,68.79
SA Yadav,2020,480,330,15,61,11,12,40.0,145.45,21.82,78.54
SA Yadav,2021,317,220,14,40,10,14,22.64,144.09,22.73,71.24
SA Yadav,2022,303,206,8,23,16,7,43.29,147.09,18.93,79.94
SC Ganguly,2009,682,623,25,71,21,24,28.42,109.47,14.77,58.11
SC Ganguly,2012,268,271,15,30,4,15,17.87,98.89,12.55,49.21
SE Marsh,2011,504,343,13,52,20,12,42.0,146.94,20.99,79.77
SE Marsh,2012,336,280,13,39,7,11,30.55,120.0,16.43,63.51
SE Marsh,2013,300,249,8,39,4,8,37.5,120.48,17.27,66.65
SE Marsh,2016,159,134,6,13,4,5,31.8,118.66,12.69,62.72
SE Marsh,2017,264,192,8,36,5,8,33.0,137.5,21.35,72.47
SE Rutherford,2019,73,54,7,2,7,5,14.6,135.19,16.67,63.25
SK Raina,2009,962,670,30,82,44,26,37.0,143.58,18.81,75.99
SK Raina,2011,438,323,16,36,17,14,31.29,135.6,16.41,70.04
SK Raina,2012,441,324,18,36,19,17,25.94,136.11,16.98,68.22
SK Raina,2013,548,364,17,50,18,13,42.15,150.55,18.68,80.82
SK Raina,2014,523,357,16,51,19,13,40.23,146.5,19.61,78.61
SK Raina,2015,374,303,17,31,16,15,24.93,123.43,15.51,62.45
SK Raina,2016,399,312,15,39,10,14,28.5,127.88,15.71,65.69
SK Raina,2017,442,304,14,42,13,11,40.18,145.39,18.09,77.85
SK Raina,2018,445,335,15,46,12,12,37.08,132.84,17.31,71.43
SK Raina,2019,383,312,17,45,9,16,23.94,122.76,17.31,62.14
SK Raina,2021,160,127,11,13,9,9,17.78,125.98,17.32,60.97
SK Trivedi,2009,29,31,7,3,1,4,7.25,93.55,12.9,42.9
SK Warne,2009,118,135,16,6,4,13,9.08,87.41,7.41,40.08
SL Malinga,2012,55,53,6,4,3,6,9.17,103.77,13.21,47.82
SL Malinga,2013,9,18,6,1,0,4,2.25,50.0,5.56,22.01
SM Curran,2019,95,55,8,13,3,4,23.75,172.73,29.09,84.41
SM Curran,2020,186,141,11,12,12,8,23.25,131.91,17.02,65.47
SM Katich,2009,145,117,9,15,6,9,16.11,123.93,17.95,59.61
SN Khan,2015,111,70,7,12,2,4,27.75,158.57,20.0,78.53
SN Khan,2018,51,41,6,7,1,5,10.2,124.39,19.51,57.74
SN Khan,2019,180,141,5,19,4,4,45.0,127.66,16.31,72.33
SN Khan,2022,91,67,5,9,2,3,30.33,135.82,16.42,69.74
SN Thakur,2022,120,87,10,7,7,8,15.0,137.93,16.09,64.39
SO Hetmyer,2019,90,73,5,4,7,5,18.0,123.29,15.07,59.53
SO Hetmyer,2020,185,124,11,11,12,8,23.12,149.19,18.55,72.63
SO Hetmyer,2021,242,142,12,19,12,7,34.57,170.42,21.83,86.36
SO Hetmyer,2022,314,204,15,21,21,7,44.86,153.92,20.59,83.63
SP Goswami,2012,69,67,6,4,1,5,13.8,102.99,7.46,48.21
SP Jackson,2022,23,26,5,0,1,4,5.75,88.46,3.85,38.45
SP Narine,2013,21,19,6,0,2,3,7.0,110.53,10.53,49.12
SP Narine,2017,224,130,14,34,10,13,17.23,172.31,33.85,82.59
SP Narine,2018,357,188,16,40,23,16,22.31,189.89,33.51,91.58
SP Narine,2019,143,85,8,17,9,8,17.88,168.24,30.59,80.57
SP Narine,2020,121,85,9,10,8,9,13.44,142.35,21.18,66.55
SP Narine,2021,62,47,10,3,5,8,7.75,131.91,17.02,59.27
SP Narine,2022,71,40,9,6,6,8,8.88,177.5,30.0,80.55
SPD Smith,2012,362,262,14,24,14,9,40.22,138.17,14.5,74.26
SPD Smith,2013,159,132,7,15,4,4,39.75,120.45,14.39,66.96
SPD Smith,2014,152,112,7,13,4,4,38.0,135.71,15.18,72.52
SPD Smith,2015,298,220,12,34,3,11,27.09,135.45,16.82,68.38
